WORK_OBJECT_AVAILABLE_DATE|BO_Team|WORK_OBJECT_ID_Count|Team Location
2015-01-12|PRUBOND SERVICING & CLAIMS MUMBAI|852|Offshore
2015-01-12|PRUBONDS NEW BUSINESS|265|Offshore
2015-01-12|PRUFUND_BEREAVEMENTS|23|England
2015-01-12|RIG & PH PP MUMBAI|1297|Offshore
2015-01-12|RP|61|England
2015-01-12|RP_BEREAVEMENTS||England
2015-01-12|RPPAP MUMBAI|21|Offshore
2015-01-12|RPTB|66|England
2015-01-12|SCHEME NORTH MUMBAI|212|Offshore
2015-01-12|SERVICING|320|Offshore
2015-01-12|SHP_CLAIMS|35|England
2015-01-12|SHP_GPP_SERVICING|181|England
2015-01-12|SHP_MPP_FC|130|England
2015-01-12|SHP_MPP_REVISIONS|13|England
2015-01-12|TEACHERS||England
2015-01-13|ADVISER - LIFE (CH) MUMBAI|16|Offshore
2015-01-13|ANNUITIES SERVICING|228|Offshore
2015-01-13|AVC MUMBAI|1467|Offshore
2015-01-13|AVC_CLAIMS|11|England
2015-01-13|AVC_REVISIONS|34|England
2015-01-13|AVC_SERVICING|100|England
2015-01-13|BEREAVEMENTS|336|Offshore
2015-01-13|CDR DSS|31|Offshore
2015-01-13|CDT MUMBAI|492|Offshore
2015-01-13|CORPORATE PENSIONS|137|Offshore
2015-01-13|CORPORATE_PENSIONS|15|England
2015-01-13|DA ADMIN|102|Offshore
2015-01-13|EPP_MK1|29|England
2015-01-13|EPP_MK2-4|14|England
